30,
200000, 360, -0.01,
200600, 295, -0.01,
1,1600.0,380.0,380.0,
1,1600.0,380.0,420.0,
1,1600.0,380.0,460.0,
1,1600.0,380.0,500.0,
1,1600.0,380.0,540.0,
1,1600.0,380.0,580.0,
1,1600.0,380.0,620.0,
1,1600.0,380.0,660.0,
1,1600.0,380.0,700.0,
1,1600.0,380.0,740.0,
1,1600.0,380.0,780.0,
1,1600.0,420.0,20.0,
1,1600.0,420.0,60.0,
1,1600.0,420.0,100.0,
1,1600.0,420.0,140.0,
1,1600.0,420.0,180.0,
1,1600.0,420.0,220.0,
1,1600.0,420.0,260.0,
1,1600.0,420.0,300.0,
1,1600.0,420.0,340.0,
1,1600.0,420.0,380.0,
1,1600.0,420.0,420.0,
1,1600.0,420.0,460.0,
1,1600.0,420.0,500.0,
1,1600.0,420.0,540.0,
1,1600.0,420.0,580.0,
1,1600.0,420.0,620.0,
1,1600.0,420.0,660.0,
1,1600.0,420.0,700.0,
1,1600.0,420.0,740.0,
1,1600.0,420.0,780.0,
1,1600.0,460.0,20.0,
1,1600.0,460.0,60.0,
1,1600.0,460.0,100.0,
1,1600.0,460.0,140.0,
1,1600.0,460.0,180.0,
1,1600.0,460.0,220.0,
1,1600.0,460.0,260.0,
1,1600.0,460.0,300.0,
1,1600.0,460.0,340.0,
1,1600.0,460.0,380.0,
1,1600.0,460.0,420.0,
1,1600.0,460.0,460.0,
1,1600.0,460.0,500.0,
1,1600.0,460.0,540.0,
1,1600.0,460.0,580.0,
1,1600.0,460.0,620.0,
1,1600.0,460.0,660.0,
1,1600.0,460.0,700.0,
1,1600.0,460.0,740.0,
1,1600.0,460.0,780.0,
1,1600.0,500.0,20.0,
1,1600.0,500.0,60.0,
1,1600.0,500.0,100.0,
1,1600.0,500.0,140.0,
1,1600.0,500.0,180.0,
1,1600.0,500.0,220.0,
1,1600.0,500.0,260.0,
1,1600.0,500.0,300.0,
1,1600.0,500.0,340.0,
1,1600.0,500.0,380.0,
1,1600.0,500.0,420.0,
1,1600.0,500.0,460.0,
1,1600.0,500.0,500.0,
1,1600.0,500.0,540.0,
1,1600.0,500.0,580.0,
1,1600.0,500.0,620.0,
1,1600.0,500.0,660.0,
1,1600.0,500.0,700.0,
1,1600.0,500.0,740.0,
1,1600.0,500.0,780.0,
1,1600.0,540.0,20.0,
1,1600.0,540.0,60.0,
1,1600.0,540.0,100.0,
1,1600.0,540.0,140.0,
1,1600.0,540.0,180.0,
1,1600.0,540.0,220.0,
1,1600.0,540.0,260.0,
1,1600.0,540.0,300.0,
1,1600.0,540.0,340.0,
1,1600.0,540.0,380.0,
1,1600.0,540.0,420.0,
1,1600.0,540.0,460.0,
1,1600.0,540.0,500.0,
1,1600.0,540.0,540.0,
1,1600.0,540.0,580.0,
1,1600.0,540.0,620.0,
1,1600.0,540.0,660.0,
1,1600.0,540.0,700.0,
1,1600.0,540.0,740.0,
1,1600.0,540.0,780.0,
1,1600.0,580.0,20.0,
1,1600.0,580.0,60.0,
1,1600.0,580.0,100.0,
1,1600.0,580.0,140.0,
1,1600.0,580.0,180.0,
1,1600.0,580.0,220.0,
1,1600.0,580.0,260.0,
1,1600.0,580.0,300.0,
1,1600.0,580.0,340.0,
1,1600.0,580.0,380.0,
1,1600.0,580.0,420.0,
1,1600.0,580.0,460.0,
1,1600.0,580.0,500.0,
1,1600.0,580.0,540.0,
1,1600.0,580.0,580.0,
1,1600.0,580.0,620.0,
1,1600.0,580.0,660.0,
1,1600.0,580.0,700.0,
1,1600.0,580.0,740.0,
1,1600.0,580.0,780.0,
1,1600.0,620.0,20.0,
1,1600.0,620.0,60.0,
1,1600.0,620.0,100.0,
1,1600.0,620.0,140.0,
1,1600.0,620.0,180.0,
1,1600.0,620.0,220.0,
1,1600.0,620.0,260.0,
1,1600.0,620.0,300.0,
1,1600.0,620.0,340.0,
1,1600.0,620.0,380.0,
1,1600.0,620.0,420.0,
1,1600.0,620.0,460.0,
1,1600.0,620.0,500.0,
1,1600.0,620.0,540.0,
1,1600.0,620.0,580.0,
1,1600.0,620.0,620.0,
1,1600.0,620.0,660.0,
1,1600.0,620.0,700.0,
1,1600.0,620.0,740.0,
1,1600.0,620.0,780.0,
1,1600.0,660.0,20.0,
1,1600.0,660.0,60.0,
1,1600.0,660.0,100.0,
1,1600.0,660.0,140.0,
1,1600.0,660.0,180.0,
1,1600.0,660.0,220.0,
1,1600.0,660.0,260.0,
1,1600.0,660.0,300.0,
1,1600.0,660.0,340.0,
1,1600.0,660.0,380.0,
1,1600.0,660.0,420.0,
1,1600.0,660.0,460.0,
1,1600.0,660.0,500.0,
1,1600.0,660.0,540.0,
1,1600.0,660.0,580.0,
1,1600.0,660.0,620.0,
1,1600.0,660.0,660.0,
1,1600.0,660.0,700.0,
1,1600.0,660.0,740.0,
1,1600.0,660.0,780.0,
1,1600.0,700.0,20.0,
1,1600.0,700.0,60.0,
1,1600.0,700.0,100.0,
1,1600.0,700.0,140.0,
1,1600.0,700.0,180.0,
1,1600.0,700.0,220.0,
1,1600.0,700.0,260.0,
1,1600.0,700.0,300.0,
1,1600.0,700.0,340.0,
1,1600.0,700.0,380.0,
1,1600.0,700.0,420.0,
1,1600.0,700.0,460.0,
1,1600.0,700.0,500.0,
1,1600.0,700.0,540.0,
1,1600.0,700.0,580.0,
1,1600.0,700.0,620.0,
1,1600.0,700.0,660.0,
1,1600.0,700.0,700.0,
1,1600.0,700.0,740.0,
1,1600.0,700.0,780.0,
1,1600.0,740.0,20.0,
1,1600.0,740.0,60.0,
1,1600.0,740.0,100.0,
1,1600.0,740.0,140.0,
1,1600.0,740.0,180.0,
1,1600.0,740.0,220.0,
1,1600.0,740.0,260.0,
1,1600.0,740.0,300.0,
1,1600.0,740.0,340.0,
1,1600.0,740.0,380.0,
1,1600.0,740.0,420.0,
1,1600.0,740.0,460.0,
1,1600.0,740.0,500.0,
1,1600.0,740.0,540.0,
1,1600.0,740.0,580.0,
1,1600.0,740.0,620.0,
1,1600.0,740.0,660.0,
1,1600.0,740.0,700.0,
1,1600.0,740.0,740.0,
1,1600.0,740.0,780.0,
1,1600.0,780.0,20.0,
1,1600.0,780.0,60.0,
1,1600.0,780.0,100.0,
1,1600.0,780.0,140.0,
1,1600.0,780.0,180.0,
1,1600.0,780.0,220.0,
1,1600.0,780.0,260.0,
1,1600.0,780.0,300.0,
1,1600.0,780.0,340.0,
1,1600.0,780.0,380.0,
1,1600.0,780.0,420.0,
1,1600.0,780.0,460.0,
1,1600.0,780.0,500.0,
1,1600.0,780.0,540.0,
1,1600.0,780.0,580.0,
1,1600.0,780.0,620.0,
1,1600.0,780.0,660.0,
1,1600.0,780.0,700.0,
1,1600.0,780.0,740.0,
1,1600.0,780.0,780.0,
2,254.0,50.0,50.0,
2,254.0,50.0,750.0,
2,254.0,750.0,50.0,
2,254.0,750.0,750.0,
2,254.0,50.0,50.0,
2,254.0,50.0,750.0,
2,254.0,137.5,50.0,
2,254.0,137.5,750.0,
2,254.0,225.0,50.0,
2,254.0,225.0,750.0,
2,254.0,312.5,50.0,
2,254.0,312.5,750.0,
2,254.0,400.0,50.0,
2,254.0,400.0,750.0,
2,254.0,487.5,50.0,
2,254.0,487.5,750.0,
2,254.0,575.0,50.0,
2,254.0,575.0,750.0,
2,254.0,662.5,50.0,
2,254.0,662.5,750.0,
2,254.0,50.0,50.0,
2,254.0,750.0,50.0,
2,254.0,50.0,137.5,
2,254.0,750.0,137.5,
2,254.0,50.0,225.0,
2,254.0,750.0,225.0,
2,254.0,50.0,312.5,
2,254.0,750.0,312.5,
2,254.0,50.0,400.0,
2,254.0,750.0,400.0,
2,254.0,50.0,487.5,
2,254.0,750.0,487.5,
2,254.0,50.0,575.0,
2,254.0,750.0,575.0,
2,254.0,50.0,662.5,
2,254.0,750.0,662.5,
3,158.3,368.3,352.5,
3,158.3,368.3,447.5,
3,158.3,400.0,352.5,
3,158.3,400.0,447.5,
3,158.3,431.7,352.5,
3,158.3,431.7,447.5,
3,158.3,352.5,368.3,
3,158.3,447.5,368.3,
3,158.3,352.5,400.0,
3,158.3,447.5,400.0,
3,158.3,352.5,431.7,
3,158.3,447.5,431.7,
